epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.0433,3.15488,4.36435,2.52507,0.2887,0.11368,0.0683,0.02785,2.32398,3.64194,1.965,0.00012221,0.00012221,0.00012221
2,34.6829,2.40396,3.31039,1.88435,0.32254,0.20781,0.10768,0.04159,2.2258,5.03983,2.03127,0.000251314,0.000251314,0.000251314
3,42.9037,2.27168,2.98592,1.77042,0.13977,0.42968,0.16642,0.06125,2.14203,4.72763,1.79069,0.000376018,0.000376018,0.000376018
4,54.7921,2.11847,2.72063,1.66629,0.46122,0.22504,0.15908,0.05888,2.11707,4.03177,1.90104,0.000496323,0.000496323,0.000496323
5,65.0632,2.1453,2.70524,1.7223,0.34139,0.19617,0.14718,0.05789,2.37345,5.08031,1.92762,0.000612228,0.000612228,0.000612228
6,73.9813,2.1146,2.60939,1.68485,0.10554,0.26684,0.09274,0.02853,2.73322,4.51994,2.34277,0.000723733,0.000723733,0.000723733
7,83.6694,2.06371,2.53468,1.70599,0.17292,0.33947,0.12707,0.04539,2.493,3.36932,2.0716,0.000830839,0.000830839,0.000830839
8,93.1786,2.12467,2.48529,1.68445,0.35976,0.26526,0.23428,0.09509,2.08274,3.98112,1.735,0.000933546,0.000933546,0.000933546
9,100.809,2.15031,2.45566,1.69858,0.24424,0.43789,0.23403,0.07977,2.22511,2.86681,1.87086,0.000964348,0.000964348,0.000964348
10,110.596,2.05766,2.37215,1.64514,0.35767,0.34789,0.2535,0.08989,2.23294,2.67638,1.91443,0.000946016,0.000946016,0.000946016
11,120.282,2.01562,2.34383,1.63008,0.30687,0.26389,0.18048,0.07534,2.21668,2.7511,1.93947,0.000927685,0.000927685,0.000927685
12,128.091,1.97228,2.38085,1.64637,0.44187,0.34232,0.35691,0.14476,2.06143,2.59441,1.78366,0.000909353,0.000909353,0.000909353
13,138.932,1.98514,2.21931,1.61424,0.40157,0.38263,0.3697,0.16091,2.02769,2.49011,1.77858,0.000891022,0.000891022,0.000891022
14,149.603,1.97101,2.12404,1.61235,0.46021,0.41567,0.35444,0.15096,1.99382,2.40733,1.78942,0.000872691,0.000872691,0.000872691
15,158.193,1.93258,2.14388,1.59031,0.46257,0.45962,0.45727,0.18054,1.81308,2.15203,1.63112,0.000854359,0.000854359,0.000854359
16,168.644,1.88453,2.1218,1.5733,0.38138,0.4558,0.37766,0.17483,1.89145,2.34904,1.60646,0.000836027,0.000836027,0.000836027
17,177.285,1.89245,2.04146,1.51221,0.52703,0.41968,0.4071,0.18023,1.89965,2.28979,1.60545,0.000817696,0.000817696,0.000817696
18,185.607,1.82655,1.96293,1.50714,0.61342,0.3771,0.51835,0.22123,1.85661,1.88996,1.60062,0.000799365,0.000799365,0.000799365
19,195.044,1.9039,2.10813,1.569,0.49979,0.47961,0.51385,0.19184,2.01422,1.90544,1.67253,0.000781033,0.000781033,0.000781033
20,203.202,1.94058,2.09723,1.58647,0.57771,0.51424,0.49283,0.18495,1.98964,2.14389,1.63057,0.000762702,0.000762702,0.000762702
21,212.95,1.87999,2.04217,1.54948,0.63484,0.48368,0.60497,0.28245,1.8512,1.75263,1.51844,0.00074437,0.00074437,0.00074437
22,222.351,1.84105,1.9589,1.51862,0.54298,0.5996,0.62275,0.27664,1.85525,1.69501,1.48914,0.000726038,0.000726038,0.000726038
23,230.592,1.89391,2.02909,1.53413,0.48045,0.48105,0.52027,0.22148,1.94241,1.84173,1.5057,0.000707707,0.000707707,0.000707707
24,239.304,1.84555,1.96663,1.5204,0.45484,0.56049,0.54839,0.18903,1.99258,1.9357,1.64003,0.000689376,0.000689376,0.000689376
25,248.317,1.78329,1.94018,1.51431,0.54606,0.59377,0.6065,0.26432,1.78369,1.6873,1.48193,0.000671044,0.000671044,0.000671044
26,258.33,1.8203,1.89118,1.51183,0.53617,0.59354,0.59616,0.25579,1.78262,1.65197,1.46664,0.000652712,0.000652712,0.000652712
27,268.368,1.76018,1.91347,1.47647,0.58742,0.63895,0.67247,0.30348,1.88334,1.62334,1.50033,0.000634381,0.000634381,0.000634381
28,278.421,1.77384,1.84503,1.48499,0.68335,0.68708,0.74276,0.29406,1.97716,1.53434,1.55326,0.000616049,0.000616049,0.000616049
29,286.706,1.73234,1.72601,1.44012,0.62277,0.70105,0.65085,0.27092,1.88793,1.61759,1.54385,0.000597718,0.000597718,0.000597718
30,296.752,1.7866,1.79366,1.46682,0.81171,0.68252,0.76436,0.33276,1.83316,1.5001,1.50149,0.000579386,0.000579386,0.000579386
31,304.946,1.74904,1.76232,1.45238,0.75347,0.67978,0.77457,0.32149,1.8556,1.50493,1.49907,0.000561055,0.000561055,0.000561055
32,313.188,1.68146,1.69816,1.41548,0.80824,0.69989,0.79584,0.33921,1.92057,1.47218,1.4843,0.000542723,0.000542723,0.000542723
33,323.356,1.66051,1.69395,1.41524,0.65177,0.67942,0.72839,0.31382,1.88084,1.47234,1.42391,0.000524392,0.000524392,0.000524392
